index,reactant_smiles
286,COc1ccc2c(c1)CCC=C2CC/C=C(\C)CC/C=C(\C)CCC=O
287,CCCCC/C=C/C=C/C=C/C=C/C=O
288,CC(C)(C)OC(=O)Nc1ccc(CCC=O)cc1
289,COc1ccc(Br)cc1C=O
290,CC(O)CC=P(c1ccccc1)(c1ccccc1)c1ccccc1
291,CC1(C)CC(=O)CC(C)(C)C1
292,Cc1ccc(S(=O)(=O)N(CCC/C=C/C=O)C(=O)OC(C)(C)C)cc1
293,O=CCOc1ccc2ccc(=O)oc2c1
294,Cc1ccnc(C=P(c2ccccc2)(c2ccccc2)c2ccccc2)c1
295,C[Si](C)(C)CC=P(c1ccccc1)(c1ccccc1)c1ccccc1
296,O=C(c1ccccc1O)C1CC1
297,Fc1ccc(C=P(c2ccccc2)(c2ccccc2)c2ccccc2)nc1
298,COc1c(C)c(C)c2c(c1C)CC[C@](C)(CC=O)O2
299,CCCCCCCCCCCCCCCCCCC=P(c1ccccc1)(c1ccccc1)c1ccccc1
300,O=CCC/C=C/I
301,CC(C)CCCCCCCC=P(c1ccccc1)(c1ccccc1)c1ccccc1
302,CC1(C)CC[C@]2(C=O)CC[C@]3(C)[C@H]([C@H](O)C[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1
303,O=C(Cl)c1ccccc1
304,C=C[C@H]1CC[C@H](C=P(c2ccccc2)(c2ccccc2)c2ccccc2)CC1
305,CCOC(=O)c1[se]c(-c2ccc(O)c(C=O)c2)nc1C
306,CC1(C)O[C@@H](C=O)[C@H](CO[Si](C)(C)C(C)(C)C)O1
307,O=C1CC[C@H](Cc2ccccc2)[C@H]2C[C@@H]12
308,N#Cc1cccc2c1CCC2=O
309,O=Cc1cc2cc(F)ccc2[nH]1
310,CC(C)CCCC(C)CCCC(C)CC=P(c1ccccc1)(c1ccccc1)c1ccccc1
311,O=Cc1ccc2cc(OC(F)(F)F)ccc2n1
312,O=C1C2CC3CC(C2)CC1C3
313,CC(=O)OC/C=C(\C)CC/C=C(\C)C=O
314,CCOC(=O)CCC(=O)c1cccs1
315,C=CCC[C@]1(C)[C@@H](C=O)C[C@@H]2C(=O)C=C(OC)[C@@]1(CO[Si](C(C)C)(C(C)C)C(C)C)C2=O
316,COc1ccc(CO[C@H]2[C@H](OC)[C@@H](OC)[C@@H](OC)O[C@@H]2C=O)cc1
317,CCCCCCCCCCOc1cc(C=O)cc(OCCBr)c1
318,CS(=O)(=O)c1ccc2c(c1)CCN2c1ccnc(OC2CCN(c3ccc(C=O)cn3)CC2)c1
319,Cc1cc(C)c(C(=O)/C=C/C[C@H](CC=O)c2ccccc2)c(C)c1
320,CC(C)(C)[Si](C)(C)OCC1(C=O)CC1
321,O=C1CC[C@@H]([N+](=O)[O-])[C@H](c2ccc(C(F)(F)F)nc2)C1
322,CC1(C)O[C@H](C=O)[C@@H](CO[Si](C)(C)C(C)(C)C)O1
323,CC(C)(C)[Si](OC[C@@H]1CC[C@@]2(C)O[C@@]3(C)C[C@@](C)(O[Si](C)(C)C)[C@H](C[C@H]4O[C@@H]4C=O)O[C@@H]3C[C@@H]2O1)(c1ccccc1)c1ccccc1
